SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000206,2022-08-23 03:38:57.395,2226.04,1513.99,2147.26,30.3,452.48,154.53,116.15,30.3,473.69,1221.1812258064515,162.1017419354839,211.79374193548387,30.3,45.6976129032258,17.46322580645161,12.537032258064515,30.3,53.021741935483874,0.0,1.01,1.01,30.3,40.4,0.0,0.0,30.3,40.4,866.2757868975888,210.15036546323404,321.2334819474873,0.0,46.109052374606065,19.62102611304292,16.50633576597746,0.0,69.24904006021605,31826.89881,3388.820384647519,0.0,4984.109870974736,0
20220823-0000208,2022-08-23 03:41:30.879,2224.02,765.58,2359.36,30.3,4184.43,106.05,83.83,30.3,434.3,1196.9924358974358,158.81602564102565,190.21666666666667,30.3,98.9152564102564,16.069358974358973,10.501410256410256,30.3,55.342820512820516,0.0,5.05,4.04,30.3,40.4,0.0,0.0,30.3,40.4,872.4413988420254,140.03397223681716,285.76170115273703,0.0,467.98477940761586,16.553329773789983,10.339331600458237,0.0,74.73035927523424,31501.94747,3348.931864772432,0.0,4974.360577816989,0
20220823-0000209,2022-08-23 03:42:47.891,2225.03,1133.22,1216.04,30.3,4203.62,164.63,136.35,30.3,488.84000000000003,1200.346153846154,155.34576923076924,188.62397435897435,30.3,93.69044871794871,18.400128205128205,13.790384615384616,30.3,48.93320512820513,0.0,0.0,5.05,30.3,40.4,0.0,0.0,30.3,40.4,873.9483781334859,167.26468415920823,226.03647496305993,0.0,467.41216779947024,22.008095587792855,20.234369061530305,0.0,60.94882094408076,31824.75256,3359.186705299479,0.0,4958.152831886694,0
20220823-0000210,2022-08-23 03:44:05.884,2228.06,1064.54,3112.82,30.3,4613.68,162.61,206.04,30.3,4173.32,1197.7361935483873,169.1065806451613,234.31348387096776,30.3,126.11967741935484,18.388516129032258,14.830709677419355,30.3,72.13354838709678,0.0,1.01,12.120000000000001,30.3,40.4,0.0,0.0,30.3,40.4,871.1405158806407,199.43443363932766,438.40811801845564,0.0,592.0654947659028,20.093910558267304,28.415543163337784,0.0,333.45981649707386,31397.427620000002,3276.5991783549225,0.0,4775.551986709446,0
20220823-0000210,2022-08-23 03:44:05.884,2216.9197,1117.767,3112.82,30.3,4613.68,162.61,206.04,30.3,4173.32,1257.6230032258068,152.19592258064517,234.31348387096776,30.3,126.11967741935484,18.388516129032258,14.830709677419355,30.3,72.13354838709678,0.0,1.01,12.120000000000001,30.3,40.4,0.0,0.0,30.3,40.4,862.4291107218343,179.4909902753949,438.40811801845564,0.0,592.0654947659028,22.103301614094036,28.415543163337784,0.0,366.8057981467813,31711.4018962,2948.9392605194303,0.0,5253.1071853803915,1
20220823-0000212,2022-08-23 03:46:38.878,2224.02,1041.31,2285.63,30.3,4187.46,144.43,213.11,30.3,4165.24,1198.8957324840765,155.89382165605096,203.51821656050956,30.3,72.41764331210192,16.848343949044587,14.712547770700636,30.3,71.67783439490445,0.0,2.02,15.15,30.3,40.4,0.0,0.0,30.3,40.4,881.0190710259932,158.0592956512453,283.09031147257724,0.0,333.0853891119639,16.588462086611916,26.807246758435006,0.0,330.7089347928138,31929.03506,3337.21351484375,0.0,4855.581050361565,0
20220823-0000213,2022-08-23 03:47:57.369,2226.04,739.32,1370.57,30.3,4657.11,161.6,153.52,30.3,473.69,1268.670684931507,144.5891095890411,204.62876712328767,30.3,108.49890410958905,16.319109589041094,14.714178082191781,30.3,51.171027397260275,0.0,1.01,17.17,30.3,40.4,0.0,1.01,30.3,40.4,843.8937748411525,131.57168898501902,235.09031654948296,0.0,529.3104443607181,17.190159431536618,21.53782819680841,0.0,64.29356935832595,32046.27384,3357.459218658854,0.0,4975.901191663728,0
20220823-0000214,2022-08-23 03:49:10.371,2230.08,1040.3,1679.63,30.3,4244.02,81.81,180.79,30.3,467.63,1267.6255782312926,148.4012925170068,205.0987074829932,30.3,80.9030612244898,16.11877551020408,14.565986394557823,30.3,48.90598639455782,0.0,2.02,5.05,30.3,40.4,0.0,0.0,30.3,40.4,843.0374890079221,157.23634766710143,256.6486362543827,0.0,351.78454009824225,15.013718353824494,22.627626604525616,0.0,58.97151630463556,31930.976280000003,3409.17923421875,0.0,5014.932281300712,0
20220823-0000216,2022-08-23 03:51:36.879,2228.06,967.58,1630.14,30.3,4564.19,178.77,132.31,30.3,482.78000000000003,922.75,165.04000000000002,149.21,30.3,168.06,17.63,9.89,30.3,56.19,0.0,1.01,3.0300000000000002,30.3,40.4,0.0,0.0,30.3,40.4,920.9765019970778,152.1558245357531,234.7474625415234,0.0,730.2306004373949,19.532430161287824,17.689084732529913,0.0,77.93675529148608,31501.678809999998,3267.2216170565553,0.0,4830.085029642809,0
20220823-0000217,2022-08-23 03:51:37.883,2228.06,688.82,1990.71,30.3,4270.28,178.77,132.31,30.3,482.78000000000003,585.3269620253166,153.96107594936709,105.51303797468354,30.3,67.1713924050633,18.46126582278481,6.2325949367088604,30.3,43.19987341772152,0.0,4.04,0.0,30.3,40.4,0.0,0.0,30.3,40.4,858.952703325214,86.94595298701766,235.1839786557837,0.0,335.4581956035521,16.376514072992578,14.174866690882332,0.0,35.0837367894832,32047.56866,3338.720396610825,0.0,4965.645435051814,0
